method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
Noisy,14.980700760637335,0.4460097867898493,0.0,8,kodim08.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,24.96445304643869,0.8329531979784965,0.18433636000008846,8,kodim08.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,14.992280930647649,0.4474380381776246,0.17567573900032585,8,kodim08.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.161810053563718,0.45443679746545795,5.200721550999333,8,kodim08.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.74362254163858,0.7803556151976967,4.137513147999925,8,kodim08.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.381666549654845,0.18330441969289835,0.0,9,kodim09.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.523325087726754,0.6737400941143036,0.18728248000024905,9,kodim09.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.40505590929401,0.18528683539036117,0.1760696100000132,9,kodim09.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.624767725830644,0.19027786542153685,4.062040277999586,9,kodim09.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.500164863492223,0.6638785026962754,6.159409215999403,9,kodim09.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.298974631010791,0.1793066566158129,0.0,10,kodim10.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.67519399266156,0.7033672662329674,0.1775699710005938,10,kodim10.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.315991576041718,0.18014980307959663,0.18961218100048427,10,kodim10.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.528725307786688,0.1853538308569566,3.9790302729998075,10,kodim10.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.01186823873549,0.6766964406191958,4.640590711999721,10,kodim10.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.108058463006696,0.21266989742060063,0.0,11,kodim11.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.16997701492811,0.7160024495394229,0.22649348900085897,11,kodim11.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.125987953676344,0.21458583624884542,0.2701112649992865,11,kodim11.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.331541856868382,0.2211388325151373,5.100384487000156,11,kodim11.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.16682739297179,0.7270235535415144,4.414905906000058,11,kodim11.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.990672545283852,0.1411846752069421,0.0,12,kodim12.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.82216820608982,0.6429777805325985,0.1797762709993549,12,kodim12.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.03892423602613,0.14565945614665407,0.19157104099940625,12,kodim12.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.220014555704076,0.14912460271273756,4.518775240999275,12,kodim12.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.521263527831366,0.5551771781432976,5.62534394100021,12,kodim12.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.226562396830507,0.3288252483200673,0.0,13,kodim13.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,26.128530160166,0.7980901438126564,0.17550920899975608,13,kodim13.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.235199072919299,0.3288939874895044,0.18039458000021114,13,kodim13.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.414207535842031,0.33488707079939356,3.8969488989996535,13,kodim13.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,23.019623087933816,0.7214989454163071,5.781936219999807,13,kodim13.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.00536747953774,0.27417685484118187,0.0,14,kodim14.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,27.725192641953754,0.785540571141243,0.23177831600060017,14,kodim14.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.024817251905848,0.2757605648430751,0.215421922999667,14,kodim14.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.202915238860166,0.2825521632816877,3.8655750790003367,14,kodim14.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.362130664469717,0.720324237227168,4.33413181800006,14,kodim14.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.248516202213956,0.17986202315398186,0.0,15,kodim15.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.752393969051173,0.6927174037463665,0.1856948549993831,15,kodim15.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,14.295021046506571,0.19034940530616273,0.18703844499941624,15,kodim15.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,14.440143063573554,0.19512517198697865,5.371713962000285,15,kodim15.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,26.607428101810893,0.7193969396137818,4.427691040000354,15,kodim15.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.325398422426437,0.14955268715848127,0.0,16,kodim16.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,29.074318076848115,0.6737397392473221,0.17659631600054126,16,kodim16.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.35505294437732,0.15084597380598644,0.18656225099948642,16,kodim16.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.566616561263178,0.15674246221835383,4.061392968999826,16,kodim16.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.89505708141764,0.6450825369732752,6.082435837000048,16,kodim16.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.714472889898818,0.2178688204755751,0.0,17,kodim17.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.629573924676986,0.7557516468667984,0.177203821999683,17,kodim17.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,14.743432994920326,0.22353148176154097,0.18025998000030086,17,kodim17.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,14.915555392886757,0.23094605027396703,3.87485969699992,17,kodim17.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.840043459276465,0.7411450723990267,4.461137530000087,17,kodim17.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.725170925133222,0.23087367305764994,0.0,18,kodim18.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,27.52328823369644,0.7565561893162728,0.23190833999979077,18,kodim18.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,14.748400029779125,0.23265430004312598,0.2753091160002441,18,kodim18.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,14.909784996400756,0.23735006938235398,5.070057239999187,18,kodim18.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.549845943304362,0.6825197117045944,4.4017797260003135,18,kodim18.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.369265912361845,0.22140210950125103,0.0,19,kodim19.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,27.307521992462483,0.7017722343035936,0.17702925200046593,19,kodim19.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.394737552846019,0.22285679217244173,0.19377235000047222,19,kodim19.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.608432768612426,0.2290688720877159,4.520275243000469,19,kodim19.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.180258540912376,0.6610267355576258,5.547809282999879,19,kodim19.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,13.747728559182022,0.17581529205454813,0.0,20,kodim20.png,10,0.1,10,final,True,"(256, 256)",2.0
